Price,Close,High,Low,Open,Volume
Ticker,181480.KS,181480.KS,181480.KS,181480.KS,181480.KS
Date,,,,,
2020-08-21,70442.765625,71111.58696529201,70418.70730340676,71111.58696529201,263
2020-08-24,71164.5078125,71563.87590908131,70510.12153376437,71563.87590908131,146
2020-08-25,71544.6328125,71544.6328125,71159.69968821458,71164.51135226813,126
2020-08-26,71135.609375,71852.54699654187,71135.609375,71660.08052096015,233
2020-08-27,71126.0078125,71135.63113922338,70476.43325867187,71135.63113922338,254
2020-08-28,72030.6015625,72194.19811915499,71510.9419119489,72194.19811915499,331
2020-08-31,72078.71875,73050.67477052737,72078.71875,73050.67477052737,220
2020-09-01,71992.109375,72333.73748391759,71332.91147469422,72333.73748391759,202
2020-09-02,71486.890625,71992.11533494313,71241.49576588477,71992.11533494313,2712
2020-09-03,72656.109375,73373.04714300497,71698.5884633692,71698.5884633692,390
2020-09-04,71597.5546875,72280.81092174898,71443.5814516129,71443.5814516129,170
2020-09-07,71597.5546875,72410.72583952872,71337.72485194053,72410.72583952872,595
2020-09-08,71972.8671875,71977.67885130449,71126.01435791048,71347.35089291683,174
2020-09-09,70798.8046875,71381.01587189497,70793.99302481905,71381.01587189497,158
2020-09-10,71741.8984375,71746.71010070841,71101.94723078051,71101.94723078051,55
2020-09-11,70673.7109375,70789.19085733252,70274.34288141255,70789.19085733252,240
2020-09-14,70476.4296875,70837.30442134054,69966.39339700536,70837.30442134054,773
2020-09-15,71886.2421875,71886.2421875,71395.45258220381,71395.45258220381,102
2020-09-16,72704.234375,73661.7553968812,72425.15789626075,73661.7553968812,90
2020-09-17,72684.984375,73348.99389729247,72684.984375,72713.8543542301,3715
2020-09-18,72011.3515625,72016.16322570744,71539.8085681712,71833.32002382484,1461
2020-09-21,70466.8046875,70861.36105379395,69788.36020399454,70861.36105379395,38
2020-09-22,68590.2421875,68590.2421875,68383.34072036127,68590.2421875,158
2020-09-23,68768.3125,69841.31373758047,68768.3125,69841.31373758047,2099
2020-09-24,67435.453125,67435.453125,66829.1836213432,67262.23326681234,165
2020-09-25,67849.2578125,68176.45088612953,67334.40988781824,68176.45088612953,1451
2020-09-28,69124.359375,69129.17103860677,68455.5381336576,69129.17103860677,93
2020-09-29,70226.2265625,70505.3030366778,69899.03345484327,70505.3030366778,48
2020-10-05,72540.640625,72632.06223364122,71838.13773754644,72632.06223364122,60
2020-10-06,72935.1953125,72944.81863949729,72449.2172991366,72944.81863949729,204
2020-10-07,72492.515625,73604.00979129331,71568.67631795102,71568.67631795102,3322
2020-10-08,72559.8828125,73729.11699840434,71693.78341553382,73729.11699840434,212
2020-10-12,73373.03125,74547.07673658928,72906.30005246245,74547.07673658928,173
2020-10-13,73618.453125,73709.87473345589,72988.1251930147,72988.1251930147,99
2020-10-14,72362.59375,73618.43768701376,72064.27066917681,73618.43768701376,274
2020-10-15,71722.640625,72882.25127779921,71246.28604148497,72882.25127779921,132
2020-10-16,72059.46875,73223.89125517495,71453.1991811899,73223.89125517495,170
2020-10-19,70856.5390625,72723.46403576159,70856.5390625,72723.46403576159,9
2020-10-20,70418.6953125,71578.30621583533,69562.21920962163,69562.21920962163,161
2020-10-21,70731.4453125,72126.82756696429,70105.92912946429,70105.92912946429,105
2020-10-22,70683.3203125,70683.3203125,70000.06425502042,70072.23919066967,149
2020-10-23,70625.59375,71698.59466335672,69836.4809706704,69836.4809706704,283
2020-10-26,70972.0234375,72131.63412552966,70115.54749364406,72131.63412552966,38
2020-10-27,70028.9609375,71188.57201252662,69186.91970044747,69186.91970044747,263
2020-10-28,69018.4921875,69143.59542208415,68840.46066136102,69143.59542208415,32
2020-10-29,67300.7421875,67300.7421875,66723.34252620737,66723.34252620737,77
2020-10-30,67656.7890625,68315.98685081965,67651.97739981154,68315.98685081965,203
2020-11-02,67854.0625,69013.67312703872,67676.03099294426,69013.67312703872,43
2020-11-03,69542.96875,70702.57958987754,68700.92768369889,68700.92768369889,71
2020-11-04,70779.5625,70779.5625,69730.61996940857,69769.11327328348,118
2020-11-05,71121.1953125,71135.63030241526,70534.17238927931,71020.15038309316,43
2020-11-06,71366.578125,72579.11707372572,70461.98557595065,72579.11707372572,120
2020-11-09,71049.03125,71212.62782744142,70519.74820533658,71212.62782744142,125
2020-11-10,72723.4765625,75119.68480175665,72011.35041910646,75119.68480175665,547
2020-11-11,73406.7265625,73411.53822522696,72752.34043163345,72752.34043163345,510
2020-11-12,73406.7265625,73849.3995333803,73406.7265625,73849.3995333803,13
2020-11-13,73219.0859375,73219.0859375,72603.19298882417,73021.80772737728,79
2020-11-16,74999.3828125,76024.2669171425,74114.03691928771,76024.2669171425,435
2020-11-17,75422.8125,75461.3058014354,74903.152930622,75023.44449760765,172
2020-11-18,75461.328125,81394.10996381432,74811.75347111523,81394.10996381432,821
2020-11-19,74200.6640625,75042.7051889469,73618.45276935672,75042.7051889469,407
2020-11-20,74320.953125,75350.64909604429,73854.22177363881,75350.64909604429,234
2020-11-23,74085.1640625,75254.39799555109,73425.96633069754,75254.39799555109,135
2020-11-24,74017.8046875,75182.22701957925,73724.29327321556,75182.22701957925,300
2020-11-25,74205.4765625,74686.6429258932,73233.52050844573,74686.6429258932,212
2020-11-26,74210.2890625,74311.33399995137,73411.55289026535,74311.33399995137,151
