Price,Close,High,Low,Open,Volume
Ticker,0022T0.KS,0022T0.KS,0022T0.KS,0022T0.KS,0022T0.KS
Date,,,,,
2025-03-11,9808.708984375,9813.640461994091,9744.599775326797,9769.25716342226,227535
2025-03-12,9872.818359375,9922.133136394856,9858.023926269043,9922.133136394856,288059
2025-03-13,9941.8603515625,9966.517743307448,9902.408524770586,9922.134438166542,223036
2025-03-14,10099.6669921875,10153.91325044632,10089.804036140442,10153.91325044632,271752
2025-03-17,10065.1455078125,10109.528805005206,10020.762210619794,10109.528805005206,277240
2025-03-18,10203.2265625,10213.08951712784,10079.939629652006,10109.528493535525,235412
2025-03-19,10272.2685546875,10287.062988515663,10213.090819374851,10232.816731145733,209189
2025-03-20,10346.240234375,10425.14387772581,10341.308756665574,10395.555011469256,223188
2025-03-21,10301.8564453125,10410.348949762894,10301.8564453125,10390.623039862823,281809
2025-03-24,10311.7197265625,10326.514159455703,10272.26790551396,10306.788248931432,163864
2025-03-25,10296.9267578125,10306.789714477072,10257.474931154215,10272.269366151073,186845
2025-03-26,10287.0625,10311.719888542664,10257.473633748801,10311.719888542664,200318
2025-03-27,10326.5146484375,10351.172037760418,10301.857259114584,10301.857259114584,229335
2025-03-28,10484.322265625,10494.185221660395,10420.213051394932,10425.14452941263,384558
2025-03-31,10656.9228515625,10666.785806538495,10513.910004410574,10553.361824314554,283457
2025-04-01,10676.6484375,10750.620597575058,10666.785482823325,10735.826165560045,269229
2025-04-02,10578.0205078125,10651.992679195804,10543.50016116696,10607.609376365823,326360
2025-04-03,10563.2255859375,10745.690266927084,10543.499674479168,10711.169921875,341805
2025-04-04,10341.3095703125,10508.979825625149,10282.13183314333,10508.979825625149,383110
2025-04-07,10237.7490234375,10444.871113507044,10060.21580337789,10119.39354339776,370813
2025-04-08,10247.611328125,10247.611328125,10124.324377594141,10158.844723742783,211242
2025-04-09,10425.14453125,10425.14453125,10222.953932488766,10232.8168885259,194702
2025-04-10,10558.29296875,10617.470696739258,10356.102398120036,10553.361491417561,192620
2025-04-11,10760.484375,10849.250973877177,10651.991865261229,10721.03255327681,191034
2025-04-14,10671.71875,10755.553878812385,10627.335446511092,10701.307618992607,214019
2025-04-15,10647.060546875,10651.992024664196,10573.088380037054,10612.540202350625,128254
2025-04-16,10859.11328125,10868.976236092189,10750.620777985921,10750.620777985921,193386
2025-04-17,10928.1552734375,11061.305179747433,10908.429361391583,11061.305179747433,405263
2025-04-18,10952.8125,10967.606933813599,10873.908852994147,10883.771808869878,124464
2025-04-21,11095.82421875,11115.550128472221,10982.400237847221,10992.263192708333,255044
2025-04-22,11441.0283203125,11835.54653825431,11224.043300444504,11268.426599962959,283986
2025-04-23,10868.9765625,11130.344873667196,10849.25065222323,11095.824530682848,476722
2025-04-24,11021.8525390625,11090.893226108083,10903.49707555579,10903.49707555579,285993
2025-04-25,10947.880859375,11130.345540364584,10898.566080729168,11090.893717447918,256294
2025-04-28,10967.6064453125,11007.05826705823,10864.045413229964,10982.40087846715,217168
2025-04-29,11031.9482421875,11096.288900396758,10977.506146779666,11036.897523588212,157506
2025-04-30,10848.82421875,11022.049058009237,10848.82421875,11022.049058009237,251353
2025-05-02,10606.3095703125,10789.43297399965,10606.3095703125,10764.686568095982,264961
2025-05-07,10928.0126953125,10928.0126953125,10754.787856392239,10789.43282417629,226334
2025-05-08,10744.8896484375,10987.40443092181,10739.94036716231,10878.52024286763,192612
2025-05-09,10730.041015625,10804.280229293992,10677.578637965578,10720.142453802468,211568
2025-05-12,10626.1064453125,10665.70069382787,10502.374418701967,10591.46147786155,284824
2025-05-13,10650.853515625,10650.853515625,10294.505256737919,10527.121481289209,235890
2025-05-14,10601.3603515625,10680.548850920575,10541.968977043942,10680.548850920575,142574
2025-05-15,10121.279296875,10586.511694873167,10096.532892726162,10546.917448235024,330586
2025-05-16,10363.794921875,10482.577671695917,10339.048515662309,10428.135578027997,244891
2025-05-19,10442.9833984375,10517.222616909805,10393.49058612263,10472.679085826421,207408
2025-05-20,10373.693359375,10408.338327655356,10329.149828728829,10393.49048410663,189954
2025-05-21,10616.2080078125,10616.2080078125,10527.120947607082,10546.918072097174,230463
2025-05-22,10606.3095703125,10645.90381975837,10517.222509059291,10591.461726770298,159672
2025-05-23,10546.91796875,10566.715093046105,10442.983066195447,10502.374439083764,163398
2025-05-26,10467.7294921875,10541.968708444148,10442.983086768616,10537.019427360372,129637
2025-05-27,10497.4248046875,10561.765456484265,10472.678400150284,10492.475523780056,142571
2025-05-28,10467.7294921875,10502.374459773935,10433.084524601063,10433.084524601063,124940
2025-05-29,10409.12890625,10473.689343168535,10359.46703169728,10409.12890625,133915
2025-05-30,10488.587890625,10523.351202762487,10458.790765935724,10458.790765935724,179216
