Price,Close,High,Low,Open,Volume
Ticker,0049M0.KS,0049M0.KS,0049M0.KS,0049M0.KS,0049M0.KS
Date,,,,,
2025-05-13,10102.14453125,10166.11329837433,10038.17576412567,10166.11329837433,193696
2025-05-14,10156.271484375,10294.050361101017,10077.540697674418,10107.064742687136,133140
2025-05-15,9929.9208984375,10269.447430643739,9905.317526538498,10269.447430643739,177448
2025-05-16,9959.4443359375,10141.50927686126,9944.682313700438,10052.937143438889,246526
2025-05-19,9979.126953125,10018.49234544502,9949.602908884986,9959.444256964991,137938
2025-05-20,9998.8095703125,10097.22305033526,9988.968222310225,10072.61968032957,149102
2025-05-21,9959.4443359375,10018.492424885746,9949.602987779459,9998.809728569664,126322
2025-05-22,9865.951171875,10249.763736167393,9801.9824111596,10249.763736167393,129350
2025-05-23,9787.220703125,10038.175080128205,9767.538006889454,10038.175080128205,140227
2025-05-26,9747.85546875,9787.220861859541,9703.569401501767,9738.014120472615,122690
2025-05-27,9782.2998046875,9890.554631499937,9738.01373917332,9890.554631499937,98950
2025-05-28,9851.189453125,9865.95147528253,9782.30001638986,9782.30001638986,97437
2025-05-29,9954.5234375,10018.492199085516,9944.682089563767,10018.492199085516,129575
2025-05-30,9885.6337890625,9993.888614029835,9792.140985681619,9993.888614029835,104454
2025-06-02,9811.82421875,9890.555004858325,9797.06219635469,9890.555004858325,165054
2025-06-04,9900.396484375,9944.68255214805,9861.031090798957,9861.031090798957,107425
2025-06-05,9821.6650390625,9934.840538009614,9808.871287007609,9934.840538009614,117921
2025-06-09,9865.951171875,9959.443975997507,9865.951171875,9900.395889183292,181209
2025-06-10,9934.8408203125,9946.650437929513,9856.110036199078,9924.999472298323,186728
2025-06-11,10023.4130859375,10111.985219244752,9934.840952630248,10111.985219244752,425913
2025-06-12,9934.8408203125,10023.4129524401,9900.396102262877,10023.4129524401,57122
2025-06-13,9949.6025390625,9974.205908348014,9831.506366492025,9974.205908348014,95496
2025-06-16,9910.2373046875,9910.2373046875,9856.109891404698,9870.8719132091,40887
2025-06-17,9929.9208984375,9969.286293475905,9900.396852158698,9969.286293475905,42679
2025-06-18,9974.2060546875,10008.650772192586,9920.07864146522,9920.07864146522,37573
2025-06-19,9998.8095703125,10018.492266317053,9954.523504302257,9974.20620030681,26977
2025-06-20,9915.158203125,10062.778424511476,9905.316855032568,10062.778424511476,55635
2025-06-23,9998.8095703125,10008.650918314775,9875.79272028405,9875.79272028405,40589
2025-06-24,9993.888671875,10254.684388078533,9969.285302421837,10254.684388078533,100063
2025-06-25,10003.73046875,10013.57181697307,9939.76170530005,9998.809794638466,48079
2025-06-26,9944.6826171875,10048.016776000433,9915.158571812377,10048.016776000433,82603
2025-06-27,10000.3505859375,10010.29129228535,9975.498820067874,9995.380232763575,39877
2025-06-30,10025.2021484375,10079.876032241573,9990.409676925818,10000.350383072013,125487
2025-07-01,10079.8759765625,10079.8759765625,10015.26138696915,10030.172446106077,71739
2025-07-02,10139.51953125,10179.282352941176,10074.904946001838,10079.875298713236,72383
2025-07-03,10169.341796875,10253.837794209738,10099.75685789345,10253.837794209738,49169
2025-07-04,10228.986328125,10253.838092770591,10189.223504692056,10189.223504692056,42928
2025-07-07,10283.66015625,10298.571214958916,10228.986274317303,10248.867685929192,86712
2025-07-08,10238.9267578125,10283.659932967992,10224.015699427337,10283.659932967992,73098
2025-07-09,10278.689453125,10378.096507797389,10248.867336723284,10378.096507797389,69314
2025-07-10,10258.80859375,10393.008124772892,10253.838240749152,10393.008124772892,87514
2025-07-11,10338.333984375,10388.037513146033,10258.808338341347,10388.037513146033,45750
2025-07-14,10318.453125,10333.36418442919,10268.749593569364,10333.36418442919,49073
2025-07-15,10373.126953125,10735.962730594154,10348.275187544921,10407.91942493711,80373
2025-07-16,10333.3642578125,10378.09743641775,10333.3642578125,10378.09743641775,51824
2025-07-17,10397.978515625,10412.889574681823,10358.215691473471,10412.889574681823,86274
2025-07-18,10482.474609375,10487.444962437767,10437.7414318101,10437.7414318101,77574
2025-07-21,10472.533203125,10636.554843230897,10442.711086742109,10482.473908585964,82907
2025-07-22,10427.80078125,10497.385724499523,10402.949015803742,10497.385724499523,70973
2025-07-23,10388.0380859375,10527.207974170156,10338.334554425837,10527.207974170156,90488
2025-07-24,10318.453125,10522.237603865608,10298.571712427745,10522.237603865608,84389
2025-07-25,10427.80078125,10437.741487428504,10358.215838000477,10407.919368892994,43738
2025-07-28,10497.3857421875,10497.3857421875,10437.74150501598,10472.533976699367,103616
2025-07-29,10562.0,10576.911058823529,10532.177882352942,10562.0,134788
2025-07-30,10485.0,10620.0,10445.0,10620.0,98997
2025-07-31,10555.0,10620.0,9900.0,10580.0,157778
2025-08-01,10525.0,10550.0,10465.0,10550.0,83500
2025-08-04,10325.0,10500.0,10230.0,10230.0,115235
2025-08-05,10435.0,10480.0,10380.0,10480.0,43832
2025-08-06,10450.0,10520.0,10395.0,10520.0,101767
2025-08-07,10430.0,10570.0,10420.0,10475.0,148528
2025-08-08,10465.0,10470.0,10420.0,10440.0,54002
2025-08-11,10515.0,10600.0,10460.0,10600.0,86391
2025-08-12,10530.0,10555.0,10515.0,10515.0,60945
2025-08-13,10530.0,10600.0,10525.0,10525.0,98315
2025-08-14,10580.0,10620.0,10535.0,10620.0,63185
2025-08-18,10585.0,10620.0,10575.0,10580.0,86228
2025-08-19,10615.0,10760.0,10585.0,10760.0,68255
2025-08-20,10650.0,10660.0,10595.0,10595.0,86174
